Id,Designator,Quantity,Manufacturer,Manufacturer Part Number,Value,Part Description,Footprint,Type,Distributor,Distributor Part Number,Distributor Link,Datasheet
1,AE1,1,Walsin Technology Corporation,RFECA3216060A1T,RFECA3216060A1T,Chip RF Antenna 2.4GHz  2dBi,RFECA3216060A1T,SMD,Digikey,1292-1035-1-ND,https://www.digikey.com/en/products/detail/walsin-technology-corporation/RFECA3216060A1T/3877063,http://www.passivecomponent.com/wp-content/uploads/2018/10/ASC_RFECA3216060A1T_V09.pdf
2,BT1,1,JST Sales America,S2B-PH-SM4-TB(LF)(SN),S2B-PH-SM4-TB(LF)(SN),Wire To Board Connector 1x2P PH 2mm Male 2A P=2mm,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,SMD,LCSC,C295747,https://www.lcsc.com/product-detail/Wire-To-Board-Wire-To-Wire-Connector_JST-Sales-America-S2B-PH-SM4-TB-LF-SN_C295747.html,https://datasheet.lcsc.com/lcsc/2102031704_JST-Sales-America-S2B-PH-SM4-TB-LF-SN_C295747.pdf
3,"C1, C2",2,Murata Electronics,GCM1555C1H120FA16D,12p,Ceramic Capacitors 50V 12pF C0G ±1%,0402_1005Metric,SMD,LCSC,C393682,https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Murata-Electronics-GCM1555C1H120FA16D_C393682.html,https://datasheet.lcsc.com/lcsc/2304140030_Murata-Electronics-GCM1555C1H120FA16D_C393682.pdf
4,"C3, C4",2,Murata Electronics,GRM1555C1H100FA01D,10p,Ceramic Capacitors 50V 10pF C0G ±1%,0402_1005Metric,SMD,LCSC,C161520,https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Murata-Electronics-GRM1555C1H100FA01D_C161520.html,https://datasheet.lcsc.com/lcsc/1811081522_Murata-Electronics-GRM1555C1H100FA01D_C161520.pdf
5,"C5, C19, C20, C23, C24, C25, C26",7,Samsung Electro-Mechanics,CL10A106KP8NNNC,10u,Ceramic Capacitor 10V 10uF X5R ±10% 0603,0603_1608Metric,SMD,LCSC,C19702,https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL10A106KP8NNNC_C19702.html,https://datasheet.lcsc.com/lcsc/2304140030_Samsung-Electro-Mechanics-CL10A106KP8NNNC_C19702.pdf
6,"C6, C7, C10, C11, C13, C27, C28, C29",8,Samsung Electro-Mechanics,CL05B104KO5NNNC,100n,Ceramic Capacitor 16V 100nF X7R ±10%,0402_1005Metric,SMD,LCSC,C1525,https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL05B104KO5NNNC_C1525.html,https://datasheet.lcsc.com/lcsc/2304140030_Samsung-Electro-Mechanics-CL05B104KO5NNNC_C1525.pdf
7,C8,1,YAGEO,CC0402KRX7R7BB103,10n,Ceramic Capacitors 16V 10nF X7R ±10%,0402_1005Metric,SMD,LCSC,C327009,https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_YAGEO-CC0402KRX7R7BB103_C327009.html,https://datasheet.lcsc.com/lcsc/1811141241_YAGEO-CC0402KRX7R7BB103_C327009.pdf
8,"C9, C14, C31, C32, C33, C34, C35, C36, C37, C38, C39",11,Murata Electronics,GRM155Z71A105KE01D,1u,Ceramic Capacitors 10V 1uF X7R ±10%,0402_1005Metric,SMD,LCSC,C528974,https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Murata-Electronics-GRM155Z71A105KE01D_C528974.html,https://datasheet.lcsc.com/lcsc/2005261833_Murata-Electronics-GRM155Z71A105KE01D_C528974.pdf
9,C17,1,YAGEO,CC0402KRX7R7BB103,10n,Ceramic Capacitors 16V 10nF X7R ±10%,0402_1005Metric,SMD,LCSC,C327009,https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_YAGEO-CC0402KRX7R7BB103_C327009.html,https://datasheet.lcsc.com/lcsc/1811141241_YAGEO-CC0402KRX7R7BB103_C327009.pdf
10,C18,1,Samsung Electro-Mechanics,CL05B104KO5NNNC,100n,Ceramic Capacitor 16V 100nF X7R ±10%,0402_1005Metric,SMD,LCSC,C1525,https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL05B104KO5NNNC_C1525.html,https://datasheet.lcsc.com/lcsc/2304140030_Samsung-Electro-Mechanics-CL05B104KO5NNNC_C1525.pdf
